num_ind;nom;prenom;date_naissance;;titre;annee;num_real;genre;;;;
5;Roberto;Benigni;27/10/1952;;Le grande vandrouille;1966;1;Comédie;;;;
4;Francis;Veber;28/07/1937;;Le corniaud;1965;1;Comédie;;;;
3;Alain;Berberian;02/07/1953;;Les 3 frères;1995;2;Comédie;;;;
2;Didier;Bourdon;22/01/1959;;La cité de la peur;1994;3;Comédie;;;;
1;Gérard;Oury;29/04/1919;;La vie est belle;1998;5;Comédie;;;;
6;Jean-Marie;Poiré;10/07/1945;;Les gendarmes à St Tropez;1964;7;Comédie;;;;
7;Jean;Girault;09/05/1924;;Le père noel est une ordure;1982;6;Comédie;;;;
8;Yves;Robert;19/06/1920;;Les visiteurs;1993;6;Comédie;;;;
9;Patrice;Leconte;12/11/1947;;Le grand blond avec une chaussure noire;1972;8;Comédie;;;;
10;Etienne;Chatiliez;17/06/1952;;La chèvre;1981;4;Comédie;;;;
11;Claude;Zidi;25/07/1934;;Les compères;1983;4;Comédie;;;;
12;Thierry;Lhermitte;24/11/1952;;Les figitifs;1986;4;Comedie;;;;
13;Pierre;Richard;16/08/1934;;Le diner de cons;1998;4;Comédie;;;;
14;Bourvil;;25/07/1917;;Les bronzés font du ski;1979;9;Comédie;;;;
;;;;;La vie est un long fleuve tranquille;1988;10;Comédie;;;;
;;;;;Les sous doués;1980;11;Comédie;;;;
;;;;;Les ripoux;1984;11;Comédie;;;;
