num_film;titre;annee;realisateur
1;Dragons;2010;Dean DeBlois
2;Bambi;1942;James Algar
3;Lego Star Wars: All-Stars;2018;Carrie Beck
4;Gake no ue no Ponyo;2008;Hayao Miyazaki
5;Hauru no ugoku shiro;2004;Hayao Miyazaki
6;Sen to Chihiro no kamikakushi;2001;Hayao Miyazaki
7;Thumbelina;1994;Don Bluth
8;Gekijô-ban poketto monsutâ - Myûtsû no gyakushû ;1998;Kunihiko Yuyama
9;The Marvel Experience;2014;Benjamin Hoyt
10;Koe no katachi;2016;Naoko Yamada
11;Inside Out;2015;Pete Docter
12;Majo no takkyûbin;1989;Hayao Miyazaki
